Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,6.459689761516062,4.532236598236294,6.459689761516062,4.532236598236294,-2.4234939710270744,15.342873494059198
1971,7.906334730384757,4.640621627799735,14.366024491900822,9.090762203358658,-1.1892836601027232,17.001953120872237
1972,8.86993805475767,4.761080240718804,23.235962546658488,13.716703569353779,-0.46177921705118585,18.201655326566524
1973,9.679104061769639,4.888251290276354,32.91506660842813,18.42924667375821,0.09813153282798481,19.260076590711293
1974,10.445264879848992,4.9696636418624704,43.3603314882771,23.165906526866674,0.7047241417985504,20.185805617899433
1975,11.283273681749035,4.982895359361053,54.64360517002617,27.771272424462076,1.5167987774013714,21.049748586096698
1976,12.181672823163831,4.955982299002539,66.82527799319,32.17267702801139,2.467947517118855,21.895398129208807
1977,12.993054390004545,5.011868261546944,79.81833238319452,36.56106017690543,3.1697925973725347,22.816316182636555
1978,13.881011906912255,4.9208911336537895,93.69934429010672,40.727206183683606,4.236065284950827,23.52595852887368
1979,14.674823579068107,4.936384035247221,108.37416786917484,44.892384674364145,4.999510869983554,24.35013628815266
1980,15.545349205538948,5.0627612589084325,123.91951707471381,49.01398356289163,5.62233713807842,25.468361272999473
1981,16.456302186234957,4.988119853922978,140.3758192609488,53.00119579741565,6.6795872725459216,26.23301709992399
1982,17.55833003039027,5.435239210822922,157.93414929133908,56.37857433771418,6.9052611771773424,28.211398883603195
1983,18.42513789592086,5.426368553814878,176.35928718725987,59.837624575673786,7.789455530443698,29.06082026139802
1984,19.22279436656696,5.404213021802901,195.58208155382678,63.54116608643127,8.630536843833273,29.815051889300644
1985,20.08169099279404,5.389035736518847,215.6637725466209,67.40078545491546,9.519180949217102,30.64420103637098
1986,20.91502250142056,5.412494716532328,236.57879504804154,71.48106746098313,10.306532857017196,31.523512145823922
1987,21.786489805755693,5.434711410830978,258.365284853797,75.74784569262853,11.134455440526976,32.43852417098441
1988,22.69223453304575,5.450568951347999,281.05751938684284,80.17007674635622,12.00911938840367,33.37534967768783
1989,23.643334203973442,5.465831634372395,304.7008535908163,84.71588125296144,12.930304200603548,34.35636420734333
1990,24.666663136227665,5.5462737596207905,329.36751672704384,89.35603505994723,13.795966567370916,35.53735970508441
1991,25.691021291487502,5.557365053765006,355.05853801853146,94.0899089535596,14.798585786108092,36.58345679686691
1992,26.75522464675022,5.549106434908418,381.8137626652819,98.8982041598444,15.878976034329723,37.63147325917072
1993,27.86926266762615,5.5378971259168575,409.68302533290785,103.762212239631,17.01498430082911,38.72354103442319
1994,29.03244606754854,5.521202418581614,438.71547140045635,108.66391307389004,18.210889327128577,39.854002807968506
1995,30.241739089080976,5.49213016716716,468.9572104895375,113.58399926123428,19.477163961433344,41.00631421672861
1996,31.5045124372694,5.455302998291828,500.4617229268063,118.50511839471054,20.812118560617417,42.19690631392139
1997,32.8234295656309,5.410382116923794,533.2851524924378,123.41019538365154,22.219080616460268,43.42777851480154
1998,34.20124041806412,5.357085377843826,567.4863929105024,128.2821793233474,23.701353077490218,44.701127758638016
1999,35.64087488489072,5.2953177647732845,603.1272677953929,133.10386727919715,25.262052065935084,46.01969770384636
2000,37.14543355344471,5.225195193218443,640.2727013488375,137.8577579211099,26.904050974736563,47.38681613215286
2001,38.718175955488256,5.147088273732573,678.9908773043251,142.52592395951993,28.629882938972415,48.8064689720041
2002,40.36251177007726,5.061705799249192,719.3533890744027,147.08989911682963,30.441568403548846,50.28345513660568
2003,42.0819986497441,4.970232290749965,761.4353877241467,151.53058203161137,32.34034335987417,51.82365393961403
2004,43.88034763948008,4.87452830906698,805.3157353636267,155.82816427670352,34.3262721537088,53.43442312525136
2005,45.761434910741926,4.777398906921204,851.0771702743689,159.96209234101607,36.39773305317637,55.125136768307485
2006,47.72931749023718,4.682932166905061,898.8064877646062,163.91107495696576,38.55077044310326,56.9078645373711
2007,49.78825077018966,4.596899505739988,948.5947385347961,167.65314889607583,40.77832773893928,58.79817380144004
2008,51.942706317349014,4.5271829835965915,1000.537444852145,171.1658193793255,43.069427669499696,60.81598496519833
2009,54.19738931394206,4.484143805858073,1054.7348341660872,174.42629621687715,45.40846745446024,62.986311173423886
2010,56.557255562844006,4.48077302874783,1111.292089728931,177.41185413902883,47.77494042649826,65.33957069918975
2011,59.02752830855255,4.5324043282502515,1170.3196180374841,180.10035597567065,50.14401582518205,67.91104079192304
2012,61.61371523194411,4.655802606411987,1231.9333332694282,182.47099106919165,52.48834212337662,70.73908834051161
2013,64.32162596544622,4.86766359455085,1296.254959234874,184.50529954081927,54.78100532012655,73.86224661076588
2014,67.15739041902324,5.182931144346245,1363.412349653897,186.18857701958157,56.998845376104605,77.31593546194188
2015,70.12747814689108,5.613588199119734,1433.5398278007872,187.51178556052858,59.1248452766164,81.13011101716576
